Generation,Run,Perplexity,Diversity,HighFreq,Entropy,Rouge_1,Rouge_2,Rouge_L,METEOR,Perplexity_lag1,Diversity_lag1,HighFreq_lag1,METEOR_lag1,Perplexity_change,Diversity_change,HighFreq_change,METEOR_change,HighFreq_sq,Diversity_sq,Perplexity_scaled,Diversity_scaled,HighFreq_scaled,Entropy_scaled,Rouge_1_scaled,Rouge_2_scaled,Rouge_L_scaled,METEOR_scaled,is_collapsed,next_gen_collapse
0,1,34.001804925055,119999.98888836188,0.5,7.206328524373827,0.6792346793864846,0.4158870940934018,0.5526763601416312,0.6612354178169152,,,,,,,,,0.25,14399997333.206976,-1.2751114142133686,2.0975693584373856,-0.8955097608821226,1.5111789315886741,1.756295349699656,1.8013601444288352,1.9905054574764174,1.8892701055164267,False,False
0,2,34.01071041524118,119999.99137384878,0.5,7.177458413204824,0.6741034714331284,0.4298402354456309,0.5365768717349001,0.6714320518811389,,,,,,,,,0.25,14399997929.723782,-1.2748111237326378,2.097569435902793,-0.8955097608821226,1.484612472458734,1.6976077008556023,1.9802381231323898,1.7992100020848545,1.9780375800678824,False,False
0,3,34.00764478235326,120000.0079059399,0.5,7.175434068542266,0.6770169877683629,0.4210356808444235,0.516359044735367,0.6465741113176936,,,,,,,,,0.25,14400001897.425638,-1.2749144959619492,2.097569951160057,-0.8955097608821226,1.4827496576802273,1.7309307361209765,1.8673645493118642,1.5589801062524813,1.7616351287815986,False,False
1,1,37.68163368426856,99135.07108703676,0.5,7.270455636901788,0.6535139603669134,0.3683808393024358,0.5042076562551681,0.5833263996172502,34.001804925055,119999.98888836188,0.5,0.6612354178169152,0.10822451241410413,-0.17387433111128137,0.0,-0.1178234197691399,0.25,9827762319.431831,-1.1510286827736067,1.4472704715458167,-0.8955097608821226,1.5701891066490419,1.4621173433590928,1.1923343617561406,1.414596301361664,1.211027977103417,False,False
1,2,38.31869628401326,89786.00293771061,0.5,6.939372247173825,0.6215831270005796,0.3926659078501426,0.4625082469030055,0.5615320165171792,34.01071041524118,119999.99137384878,0.5,0.6714320518811389,0.12666556552848562,-0.25178325506715504,0.0,-0.16368005527298668,0.25,8061526323.530579,-1.129547121362219,1.1558871711719185,-0.8955097608821226,1.265524074695385,1.0969118102885238,1.503666689353974,0.919120463865734,1.0212955286292524,False,False
1,3,39.22105284969327,99618.6366188776,0.5,7.111424445243784,0.6399779260882142,0.3420443402889772,0.4935038947901322,0.5875584348553385,34.00764478235326,120000.0079059399,0.5,0.6465741113176936,0.15330106217897432,-0.16984474953566597,0.0,-0.09127441917227919,0.25,9923872761.803982,-1.0991199263135807,1.4623418046845102,-0.8955097608821226,1.4238475969528763,1.3073003814057624,0.8547028857514175,1.2874133206279028,1.2478702407299946,False,False
2,1,43.63481305840992,66334.08428137483,0.5,6.78625602382324,0.6059983543916737,0.3351803399908212,0.4909869072210217,0.5904716897503164,37.68163368426856,99135.07108703676,0.5,0.5833263996172502,0.15798623340013807,-0.33087167281964147,0.0,0.012249214398241781,0.25,4400210737.44854,-0.9502892446557908,0.42495898142759064,-0.8955097608821226,1.1246255562947527,0.9186626201367863,0.76670703820999,1.2575062657523832,1.2732317745580244,False,False
2,2,42.2154100830606,77964.70651746698,0.5,6.360758675183867,0.6332109025424472,0.3411127728646413,0.4710535255834046,0.526351654855257,38.31869628401326,89786.00293771061,0.5,0.5615320165171792,0.10169223321601017,-0.1316607938148744,0.0,-0.06265067819306769,0.25,6078495462.354759,-0.9981510908773277,0.7874516960409551,-0.8955097608821226,0.7330802014343788,1.2299032645507222,0.8427602777261175,1.0206561732818977,0.715030555416894,False,False
2,3,44.1975020978008,91288.32575284327,0.5,6.9076073132931946,0.6337706579578405,0.366337080751429,0.4595670061348719,0.5703835722406904,39.22105284969327,99618.6366188776,0.5,0.5875584348553385,0.12688209230840286,-0.08362201239417233,0.0,-0.029230901295590694,0.25,8333558418.757228,-0.9313155375820524,1.202710209907807,-0.8955097608821226,1.236293781373513,1.236305407974996,1.1661335665851091,0.8841723973221343,1.0983533344187544,False,False
3,1,48.69020884811963,78374.54557779522,0.5,5.902486217079822,0.5994530500875044,0.3296603720471451,0.4349211662383533,0.525937486813332,43.63481305840992,66334.08428137483,0.5,0.5904716897503164,0.11585693705029798,0.18151243703534603,0.0,-0.1092926283464547,0.25,6142569394.5259,-0.7798228020188476,0.8002251891969746,-0.8955097608821226,0.31137498328233326,0.8438013936824358,0.6959415608635245,0.5913284853043524,0.7114249880414202,False,False
3,2,48.46959382964656,68714.29690337714,0.5,6.365750221931938,0.572649595634527,0.3027941519132043,0.4298524239103866,0.5506467270483291,42.2154100830606,77964.70651746698,0.5,0.526351654855257,0.14814930695403872,-0.11864868127243466,0.0,0.046157491800330686,0.25,4721654598.925465,-0.7872618748344593,0.49914329566222704,-0.8955097608821226,0.7376734543630408,0.5372397152154692,0.3515191091984499,0.5311012689236452,0.9265329187498176,False,False
