Generation,Run,Perplexity,3gram_Diversity,HighFreq_Ratio,Entropy,Rouge-1,Rouge-2,Rouge-L,METEOR
0,1,34.00747293605123,120000.00117327383,0.5,7.205470973811701,0.690987768519872,0.4330547880715433,0.5468973324340655,0.6509699596499272
0,2,34.006103702654336,120000.01277664896,0.5,7.197978073475661,0.6882541634898803,0.4202100384163276,0.5532416635248845,0.6559515702543691
0,3,33.99979098406036,119999.99408428611,0.5,7.197823187967728,0.6881350963600065,0.4268195297129496,0.5486985694563232,0.6418177931676653
1,1,34.42520791821043,115738.42305711824,0.5,7.315227818450894,0.6769569801834567,0.4064923357209743,0.5404830625020672,0.6307178068896427
1,2,34.849916318040236,111063.88898245517,0.5,7.149686123586912,0.6609915635002898,0.41620636314005705,0.5238032987612022,0.6198206153396072
1,3,35.451487361826906,115980.20582303866,0.5,7.235712222621891,0.6701889630441071,0.3959577361155908,0.536201557916053,0.6328338245086869
2,1,36.018111908439586,103721.80094494535,0.5,7.153128011911621,0.6626171771958369,0.39937143599632846,0.5429959628884087,0.6452709961952198
2,2,35.071843258206705,109537.11206299144,0.5,6.940379337591933,0.6762234512712236,0.4017444091458565,0.5350226102333618,0.61321097874769
2,3,36.393237934700174,116198.92168067959,0.5,7.213803656646597,0.6765033289789203,0.4118341323005716,0.5304280024539487,0.6352269374404067
3,1,36.619400298789515,112689.02702931492,0.5,6.791243108539911,0.6680223450437524,0.402426647318858,0.5274465760953414,0.6215505289193817
3,2,36.47232361980746,107858.90269210588,0.5,7.022875110965969,0.6546206178172637,0.3916801592652817,0.5254190791641546,0.6339051490368803
3,3,36.22425296706384,108483.52213851233,0.5,6.843648505186788,0.6694897699053289,0.3929574453734717,0.5271600281340223,0.6142924949743668
4,1,37.81270743622368,103301.47576466491,0.5,6.839772273077838,0.6508594154662486,0.378376902357895,0.5198649565771465,0.6056939864224589
4,2,37.44678264523921,103873.4581032035,0.5,6.917348612455078,0.6549510649283184,0.39845195595117316,0.5233269506471384,0.5820531359408748
4,3,37.62399538252484,112110.22312588649,0.5,6.995193303268677,0.6562207602233361,0.3949448100260371,0.5123846294286047,0.6279770463880857
5,1,42.02092387275685,90000.01158110873,0.5,6.793370227039723,0.6262834550926428,0.3964732161191657,0.5396871091452422,0.6007580455819372
5,2,41.489939826185,92000.00791662694,0.5,7.004993440501755,0.6098775322715309,0.3766832864288492,0.5225184771934942,0.5832283828848789
5,3,42.48785811387212,89000.00624119816,0.5,6.868463385853231,0.6210274562851417,0.392160450208812,0.5308539804299667,0.6197511973341775
6,1,39.58996124031177,98100.48687130136,0.5,6.814644820949698,0.6302353016314972,0.3927734977985135,0.5176457043021515,0.5997315172092184
6,2,38.74404447606755,95902.21017283613,0.5,6.845655360863383,0.6362963535820763,0.4088994931448478,0.5194141867789375,0.5781045719959905
6,3,38.478853222283604,98121.53379916193,0.5,6.969679298265395,0.6352330445788229,0.3980707125620426,0.5188036668391846,0.6083050268539475
7,1,39.86191845670769,88434.46845672416,0.5,6.7927183249036025,0.632064565573874,0.3826861520055582,0.514999322172567,0.5941027112802864
7,2,42.84172873177231,91824.47483476192,0.5,6.696272818290218,0.6398773718625803,0.3720551850057339,0.5213596024325313,0.5905820502573864
7,3,39.88384378738471,94305.4150905225,0.5,6.795639879432347,0.6394943792969596,0.3734498479017066,0.49643933017754194,0.5832546250093307
8,1,41.63366850788205,88341.03537908592,0.5094511240790152,6.645136085947964,0.654650929804443,0.38350573189998005,0.5004289066959505,0.5998773394638841
8,2,42.0439047109745,92186.32810102114,0.5,7.025273149065473,0.6276433046822595,0.3869147104311424,0.5136561351189762,0.5917417021255392
8,3,42.31651780425099,91923.93033489797,0.5034844423726461,6.554407108217064,0.6387833643019338,0.3669035027647183,0.49351059167778244,0.5671793684399393
9,1,39.46031455744648,86021.96917072032,0.5312118682629012,6.582855100007109,0.6346384344314117,0.36716133678690305,0.5021189934822478,0.6016257143000094
9,2,40.73007040536251,85458.58536130168,0.5381134229423068,6.588645431476943,0.6273204438299453,0.4036061091423576,0.5118063561793752,0.5478428733831521
9,3,41.07311187036006,77916.22156661165,0.5258525591773983,6.408777269282548,0.6504494646120851,0.37386781497664934,0.5022886968910892,0.582986517669573
10,1,40.73526083596987,85000.31755474988,0.6062748597668486,6.429233053438122,0.6409919176749851,0.3568122496284772,0.49759202223179544,0.5792600574784994
10,2,42.95137523319553,84427.40598024814,0.5605385597379878,6.375221681803515,0.6300720115088556,0.3361494811390965,0.49219048654711506,0.5687893207799409
10,3,44.38039792402223,86621.92499513573,0.5725163346135634,6.590973817495982,0.6260106173569281,0.37574679604760747,0.5259143322449612,0.5786524756823962
11,1,44.99852942618498,75000.00412931455,0.6116862652240723,6.306218450117314,0.5824368721149191,0.3736732674293628,0.5061473324005311,0.5552896169438168
11,2,45.99174502803208,72999.99436275447,0.6172291410507735,6.383547025135503,0.5724496657110871,0.3664738660937195,0.5016020082681778,0.5523204993735764
11,3,43.99678614158347,75999.99177779605,0.6249194003569225,6.517675464995232,0.5849305682462886,0.37665522622965747,0.5053391669956778,0.5555191565850267
